nohup: ignoring input
Ep 100 Up 734: mean reward 0.24, max_reward 2.0, actual_mean_reward 0.54
Ep 200 Up 1569: mean reward 0.26, max_reward 2.0, actual_mean_reward 0.30
Ep 300 Up 2390: mean reward 0.24, max_reward 3.0, actual_mean_reward 0.19
Ep 400 Up 3345: mean reward 0.36, max_reward 3.0, actual_mean_reward 0.18
Ep 500 Up 4188: mean reward 0.27, max_reward 3.0, actual_mean_reward 0.83
Ep 600 Up 4977: mean reward 0.21, max_reward 4.0, actual_mean_reward 0.85
Ep 700 Up 5959: mean reward 0.40, max_reward 3.0, actual_mean_reward 0.26
Ep 800 Up 7023: mean reward 0.49, max_reward 4.0, actual_mean_reward 0.16
Ep 900 Up 7808: mean reward 0.20, max_reward 2.0, actual_mean_reward 0.12
Ep 1000 Up 8516: mean reward 0.13, max_reward 1.0, actual_mean_reward 0.11
Ep 1100 Up 9296: mean reward 0.20, max_reward 3.0, actual_mean_reward 0.23
Ep 1200 Up 10121: mean reward 0.27, max_reward 2.0, actual_mean_reward 0.20
Ep 1300 Up 10940: mean reward 0.28, max_reward 2.0, actual_mean_reward 0.15
Ep 1400 Up 11772: mean reward 0.26, max_reward 2.0, actual_mean_reward 0.19
Ep 1500 Up 12492: mean reward 0.20, max_reward 2.0, actual_mean_reward 0.16
Ep 1600 Up 13204: mean reward 0.16, max_reward 3.0, actual_mean_reward 0.29
Ep 1700 Up 13976: mean reward 0.23, max_reward 3.0, actual_mean_reward 0.26
Ep 1800 Up 14707: mean reward 0.18, max_reward 2.0, actual_mean_reward 0.24
Ep 1900 Up 15503: mean reward 0.24, max_reward 2.0, actual_mean_reward 0.37
Ep 2000 Up 16385: mean reward 0.31, max_reward 2.0, actual_mean_reward 0.39
Ep 2100 Up 17314: mean reward 0.37, max_reward 2.0, actual_mean_reward 0.18
Ep 2200 Up 18267: mean reward 0.39, max_reward 4.0, actual_mean_reward 0.66
Ep 2300 Up 19022: mean reward 0.20, max_reward 3.0, actual_mean_reward 0.06
Ep 2400 Up 19779: mean reward 0.19, max_reward 3.0, actual_mean_reward 0.11
Ep 2500 Up 20522: mean reward 0.20, max_reward 4.0, actual_mean_reward 0.19
Ep 2600 Up 21514: mean reward 0.46, max_reward 2.0, actual_mean_reward 0.61
Ep 2700 Up 22399: mean reward 0.35, max_reward 5.0, actual_mean_reward 0.57
Ep 2800 Up 23474: mean reward 0.55, max_reward 4.0, actual_mean_reward 0.91
Ep 2900 Up 24605: mean reward 0.61, max_reward 4.0, actual_mean_reward 0.77
Ep 3000 Up 25953: mean reward 0.90, max_reward 7.0, actual_mean_reward 1.64
Ep 3100 Up 27424: mean reward 1.07, max_reward 5.0, actual_mean_reward 2.07
Ep 3200 Up 28988: mean reward 1.20, max_reward 4.0, actual_mean_reward 1.99
Ep 3300 Up 30763: mean reward 1.42, max_reward 5.0, actual_mean_reward 2.17
Ep 3400 Up 32298: mean reward 1.16, max_reward 6.0, actual_mean_reward 1.41
Ep 3500 Up 33989: mean reward 1.40, max_reward 6.0, actual_mean_reward 2.34
Ep 3600 Up 35865: mean reward 1.53, max_reward 5.0, actual_mean_reward 1.95
Ep 3700 Up 37692: mean reward 1.36, max_reward 7.0, actual_mean_reward 1.82
Ep 3800 Up 39771: mean reward 1.61, max_reward 5.0, actual_mean_reward 9.01
Ep 3900 Up 42190: mean reward 2.01, max_reward 6.0, actual_mean_reward 4.02
Ep 4000 Up 44740: mean reward 2.35, max_reward 7.0, actual_mean_reward 3.57
Ep 4100 Up 47586: mean reward 2.53, max_reward 7.0, actual_mean_reward 2.89
Ep 4200 Up 50702: mean reward 2.95, max_reward 9.0, actual_mean_reward 4.07
Ep 4300 Up 54392: mean reward 3.59, max_reward 14.0, actual_mean_reward 5.11
Ep 4400 Up 57648: mean reward 3.16, max_reward 13.0, actual_mean_reward 5.39
Ep 4500 Up 60892: mean reward 3.19, max_reward 12.0, actual_mean_reward 5.70
Ep 4600 Up 64722: mean reward 3.87, max_reward 14.0, actual_mean_reward 6.06
Ep 4700 Up 68648: mean reward 4.16, max_reward 16.0, actual_mean_reward 7.98
Ep 4800 Up 72621: mean reward 4.01, max_reward 18.0, actual_mean_reward 6.88
Ep 4900 Up 76848: mean reward 4.41, max_reward 16.0, actual_mean_reward 6.91
Ep 5000 Up 81452: mean reward 4.88, max_reward 22.0, actual_mean_reward 9.46
Ep 5100 Up 85757: mean reward 4.66, max_reward 14.0, actual_mean_reward 7.69
Ep 5200 Up 90943: mean reward 5.68, max_reward 24.0, actual_mean_reward 9.94
Ep 5300 Up 95001: mean reward 4.71, max_reward 32.0, actual_mean_reward 8.84
Ep 5400 Up 99665: mean reward 4.97, max_reward 21.0, actual_mean_reward 7.51
Ep 5500 Up 104692: mean reward 5.79, max_reward 36.0, actual_mean_reward 10.93
Ep 5600 Up 109445: mean reward 5.36, max_reward 22.0, actual_mean_reward 2.91
Ep 5700 Up 114964: mean reward 6.20, max_reward 29.0, actual_mean_reward 14.33
Ep 5800 Up 120657: mean reward 6.67, max_reward 57.0, actual_mean_reward 9.97
Ep 5900 Up 126487: mean reward 6.92, max_reward 58.0, actual_mean_reward 12.07
Ep 6000 Up 131931: mean reward 6.34, max_reward 42.0, actual_mean_reward 19.10
Ep 6100 Up 138055: mean reward 7.72, max_reward 36.0, actual_mean_reward 17.10
Ep 6200 Up 144682: mean reward 8.36, max_reward 34.0, actual_mean_reward 23.61
Ep 6300 Up 150956: mean reward 8.00, max_reward 44.0, actual_mean_reward 17.63
Ep 6400 Up 156743: mean reward 6.85, max_reward 30.0, actual_mean_reward 14.99
Ep 6500 Up 162490: mean reward 6.82, max_reward 28.0, actual_mean_reward 23.12
Ep 6600 Up 169075: mean reward 9.56, max_reward 52.0, actual_mean_reward 19.00
Ep 6700 Up 175554: mean reward 8.80, max_reward 40.0, actual_mean_reward 14.95
Ep 6800 Up 182588: mean reward 8.96, max_reward 42.0, actual_mean_reward 17.08
Ep 6900 Up 189633: mean reward 9.86, max_reward 60.0, actual_mean_reward 22.90
Ep 7000 Up 196902: mean reward 10.12, max_reward 65.0, actual_mean_reward 25.46
Ep 7100 Up 203470: mean reward 8.94, max_reward 40.0, actual_mean_reward 31.27
Ep 7200 Up 210932: mean reward 11.44, max_reward 54.0, actual_mean_reward 30.73
Ep 7300 Up 218030: mean reward 10.95, max_reward 50.0, actual_mean_reward 22.55
Ep 7400 Up 224958: mean reward 10.11, max_reward 46.0, actual_mean_reward 28.94
Ep 7500 Up 232237: mean reward 10.55, max_reward 46.0, actual_mean_reward 36.93
Ep 7600 Up 239956: mean reward 12.11, max_reward 57.0, actual_mean_reward 28.35
Ep 7700 Up 247334: mean reward 10.99, max_reward 40.0, actual_mean_reward 22.09
Ep 7800 Up 255320: mean reward 12.68, max_reward 48.0, actual_mean_reward 42.06
Ep 7900 Up 262472: mean reward 11.16, max_reward 69.0, actual_mean_reward 41.67
Ep 8000 Up 269741: mean reward 10.61, max_reward 67.0, actual_mean_reward 34.89
Ep 8100 Up 277873: mean reward 13.00, max_reward 69.0, actual_mean_reward 39.87
Ep 8200 Up 285885: mean reward 12.59, max_reward 66.0, actual_mean_reward 40.43
Ep 8300 Up 292508: mean reward 10.57, max_reward 53.0, actual_mean_reward 42.46
Ep 8400 Up 299836: mean reward 11.99, max_reward 72.0, actual_mean_reward 40.91
Ep 8500 Up 307002: mean reward 11.52, max_reward 71.0, actual_mean_reward 42.06
Ep 8600 Up 315257: mean reward 13.50, max_reward 74.0, actual_mean_reward 37.39
Ep 8700 Up 323211: mean reward 13.55, max_reward 53.0, actual_mean_reward 45.21
Ep 8800 Up 331279: mean reward 13.26, max_reward 57.0, actual_mean_reward 40.83
Ep 8900 Up 339238: mean reward 12.27, max_reward 52.0, actual_mean_reward 42.47
Ep 9000 Up 346891: mean reward 12.93, max_reward 75.0, actual_mean_reward 32.71
Ep 9100 Up 354762: mean reward 12.22, max_reward 65.0, actual_mean_reward 49.38
Ep 9200 Up 362303: mean reward 12.72, max_reward 72.0, actual_mean_reward 45.47
Ep 9300 Up 370556: mean reward 12.75, max_reward 67.0, actual_mean_reward 55.61
Ep 9400 Up 377535: mean reward 11.60, max_reward 59.0, actual_mean_reward 29.16
Ep 9500 Up 385461: mean reward 13.14, max_reward 57.0, actual_mean_reward 47.53
Ep 9600 Up 393937: mean reward 14.09, max_reward 58.0, actual_mean_reward 57.70
Ep 9700 Up 402362: mean reward 14.04, max_reward 70.0, actual_mean_reward 45.11
Ep 9800 Up 410140: mean reward 12.79, max_reward 77.0, actual_mean_reward 49.64
Ep 9900 Up 418758: mean reward 14.52, max_reward 74.0, actual_mean_reward 61.97
Ep 10000 Up 427330: mean reward 13.56, max_reward 89.0, actual_mean_reward 31.56
Ep 10100 Up 435199: mean reward 11.30, max_reward 47.0, actual_mean_reward 66.96
Ep 10200 Up 443536: mean reward 13.83, max_reward 69.0, actual_mean_reward 34.06
Ep 10300 Up 452668: mean reward 15.18, max_reward 96.0, actual_mean_reward 53.26
Ep 10400 Up 461728: mean reward 14.15, max_reward 77.0, actual_mean_reward 45.94
Ep 10500 Up 470589: mean reward 14.10, max_reward 85.0, actual_mean_reward 48.25
Ep 10600 Up 480470: mean reward 16.35, max_reward 84.0, actual_mean_reward 12.97
Ep 10700 Up 488222: mean reward 11.14, max_reward 53.0, actual_mean_reward 36.32
Ep 10800 Up 497119: mean reward 13.96, max_reward 86.0, actual_mean_reward 52.62
Ep 10900 Up 506392: mean reward 15.44, max_reward 72.0, actual_mean_reward 18.19
Ep 11000 Up 514858: mean reward 13.30, max_reward 88.0, actual_mean_reward 48.25
Ep 11100 Up 523828: mean reward 15.03, max_reward 58.0, actual_mean_reward 29.57
Ep 11200 Up 531945: mean reward 13.75, max_reward 78.0, actual_mean_reward 62.49
Ep 11300 Up 540614: mean reward 13.80, max_reward 57.0, actual_mean_reward 47.32
Ep 11400 Up 550320: mean reward 15.85, max_reward 89.0, actual_mean_reward 53.00
Ep 11500 Up 559957: mean reward 16.09, max_reward 81.0, actual_mean_reward 53.98
Ep 11600 Up 568581: mean reward 13.71, max_reward 65.0, actual_mean_reward 62.88
Ep 11700 Up 576856: mean reward 13.05, max_reward 73.0, actual_mean_reward 13.60
Ep 11800 Up 585246: mean reward 13.24, max_reward 63.0, actual_mean_reward 40.21
Ep 11900 Up 594010: mean reward 14.14, max_reward 75.0, actual_mean_reward 42.84
Ep 12000 Up 602675: mean reward 14.45, max_reward 86.0, actual_mean_reward 56.00
Ep 12100 Up 610990: mean reward 13.20, max_reward 56.0, actual_mean_reward 58.05
Ep 12200 Up 619863: mean reward 15.63, max_reward 85.0, actual_mean_reward 54.51
Ep 12300 Up 629134: mean reward 16.01, max_reward 65.0, actual_mean_reward 66.12
Ep 12400 Up 638774: mean reward 15.79, max_reward 74.0, actual_mean_reward 71.88
Ep 12500 Up 649066: mean reward 15.15, max_reward 74.0, actual_mean_reward 54.09
Ep 12600 Up 656989: mean reward 12.58, max_reward 88.0, actual_mean_reward 52.73
Ep 12700 Up 666277: mean reward 15.22, max_reward 68.0, actual_mean_reward 45.83
Ep 12800 Up 676642: mean reward 15.92, max_reward 92.0, actual_mean_reward 65.53
Ep 12900 Up 686241: mean reward 14.31, max_reward 70.0, actual_mean_reward 64.21
Ep 13000 Up 696829: mean reward 16.20, max_reward 80.0, actual_mean_reward 61.95
Ep 13100 Up 707138: mean reward 16.19, max_reward 82.0, actual_mean_reward 9.96
Ep 13200 Up 716689: mean reward 15.30, max_reward 72.0, actual_mean_reward 69.74
Ep 13300 Up 725942: mean reward 14.86, max_reward 72.0, actual_mean_reward 66.54
Ep 13400 Up 736247: mean reward 14.73, max_reward 84.0, actual_mean_reward 51.18
Ep 13500 Up 744663: mean reward 12.93, max_reward 69.0, actual_mean_reward 45.86
Ep 13600 Up 753624: mean reward 15.52, max_reward 75.0, actual_mean_reward 34.67
Ep 13700 Up 762870: mean reward 13.80, max_reward 67.0, actual_mean_reward 32.20
Ep 13800 Up 772571: mean reward 14.91, max_reward 83.0, actual_mean_reward 52.54
Ep 13900 Up 781444: mean reward 14.56, max_reward 69.0, actual_mean_reward 48.27
Ep 14000 Up 790743: mean reward 14.79, max_reward 64.0, actual_mean_reward 51.23
Ep 14100 Up 800436: mean reward 15.77, max_reward 69.0, actual_mean_reward 50.69
Ep 14200 Up 809452: mean reward 14.40, max_reward 102.0, actual_mean_reward 51.59
Ep 14300 Up 818618: mean reward 14.20, max_reward 80.0, actual_mean_reward 53.34
Ep 14400 Up 828396: mean reward 16.01, max_reward 74.0, actual_mean_reward 65.67
Ep 14500 Up 838764: mean reward 15.06, max_reward 85.0, actual_mean_reward 54.55
Ep 14600 Up 847355: mean reward 14.51, max_reward 72.0, actual_mean_reward 71.68
Ep 14700 Up 857893: mean reward 17.01, max_reward 85.0, actual_mean_reward 67.06
Ep 14800 Up 868800: mean reward 17.12, max_reward 85.0, actual_mean_reward 70.99
Ep 14900 Up 880582: mean reward 17.66, max_reward 81.0, actual_mean_reward 62.25
Ep 15000 Up 889818: mean reward 15.23, max_reward 73.0, actual_mean_reward 60.33
Ep 15100 Up 901016: mean reward 15.44, max_reward 78.0, actual_mean_reward 60.74
Ep 15200 Up 910160: mean reward 14.58, max_reward 90.0, actual_mean_reward 49.51
Ep 15300 Up 919868: mean reward 15.58, max_reward 85.0, actual_mean_reward 41.78
Ep 15400 Up 930546: mean reward 16.99, max_reward 67.0, actual_mean_reward 47.68
Ep 15500 Up 942038: mean reward 16.41, max_reward 63.0, actual_mean_reward 62.18
Ep 15600 Up 952089: mean reward 15.70, max_reward 68.0, actual_mean_reward 64.72
Ep 15700 Up 962368: mean reward 16.84, max_reward 80.0, actual_mean_reward 72.27
Ep 15800 Up 973278: mean reward 16.29, max_reward 73.0, actual_mean_reward 58.23
Ep 15900 Up 983656: mean reward 14.67, max_reward 96.0, actual_mean_reward 64.30
Ep 16000 Up 994038: mean reward 16.94, max_reward 76.0, actual_mean_reward 63.30
Ep 16100 Up 1004427: mean reward 16.81, max_reward 75.0, actual_mean_reward 10.98
Ep 16200 Up 1014463: mean reward 15.21, max_reward 77.0, actual_mean_reward 62.46
Ep 16300 Up 1023565: mean reward 13.89, max_reward 87.0, actual_mean_reward 61.96
Ep 16400 Up 1033069: mean reward 14.74, max_reward 54.0, actual_mean_reward 7.42
Ep 16500 Up 1043337: mean reward 15.63, max_reward 75.0, actual_mean_reward 24.53
Ep 16600 Up 1053383: mean reward 14.85, max_reward 99.0, actual_mean_reward 66.38
Ep 16700 Up 1063135: mean reward 15.59, max_reward 80.0, actual_mean_reward 12.83
Ep 16800 Up 1073890: mean reward 16.03, max_reward 93.0, actual_mean_reward 65.33
Ep 16900 Up 1083579: mean reward 15.64, max_reward 87.0, actual_mean_reward 68.24
Ep 17000 Up 1093574: mean reward 15.71, max_reward 105.0, actual_mean_reward 15.59
Ep 17100 Up 1103121: mean reward 13.89, max_reward 69.0, actual_mean_reward 71.59
Ep 17200 Up 1111962: mean reward 14.49, max_reward 73.0, actual_mean_reward 45.03
Ep 17300 Up 1123357: mean reward 16.73, max_reward 101.0, actual_mean_reward 47.11
Ep 17400 Up 1133362: mean reward 15.53, max_reward 79.0, actual_mean_reward 58.46
Ep 17500 Up 1144349: mean reward 16.81, max_reward 81.0, actual_mean_reward 58.47
Ep 17600 Up 1154110: mean reward 16.50, max_reward 82.0, actual_mean_reward 61.18
Ep 17700 Up 1164136: mean reward 15.40, max_reward 79.0, actual_mean_reward 54.29
Ep 17800 Up 1171680: mean reward 11.26, max_reward 84.0, actual_mean_reward 7.31
Ep 17900 Up 1182187: mean reward 15.58, max_reward 87.0, actual_mean_reward 46.63
Ep 18000 Up 1191893: mean reward 15.61, max_reward 77.0, actual_mean_reward 54.23
Ep 18100 Up 1201587: mean reward 15.56, max_reward 73.0, actual_mean_reward 41.45
Ep 18200 Up 1210855: mean reward 14.91, max_reward 77.0, actual_mean_reward 49.18
Ep 18300 Up 1219841: mean reward 13.31, max_reward 91.0, actual_mean_reward 32.76
Ep 18400 Up 1229903: mean reward 15.70, max_reward 84.0, actual_mean_reward 67.38
Ep 18500 Up 1241706: mean reward 17.39, max_reward 92.0, actual_mean_reward 33.07
Ep 18600 Up 1251092: mean reward 16.01, max_reward 84.0, actual_mean_reward 66.07
Ep 18700 Up 1259982: mean reward 14.64, max_reward 89.0, actual_mean_reward 74.07
Ep 18800 Up 1270371: mean reward 15.86, max_reward 98.0, actual_mean_reward 38.02
Ep 18900 Up 1280640: mean reward 15.46, max_reward 87.0, actual_mean_reward 64.14
Ep 19000 Up 1290308: mean reward 13.91, max_reward 99.0, actual_mean_reward 45.19
Ep 19100 Up 1299991: mean reward 15.85, max_reward 68.0, actual_mean_reward 60.65
Ep 19200 Up 1309339: mean reward 15.11, max_reward 71.0, actual_mean_reward 61.67
Ep 19300 Up 1319238: mean reward 15.00, max_reward 96.0, actual_mean_reward 59.54
Ep 19400 Up 1329603: mean reward 16.33, max_reward 90.0, actual_mean_reward 59.27
Ep 19500 Up 1338119: mean reward 13.65, max_reward 66.0, actual_mean_reward 21.77
Ep 19600 Up 1348177: mean reward 15.54, max_reward 78.0, actual_mean_reward 65.82
Ep 19700 Up 1357839: mean reward 13.45, max_reward 88.0, actual_mean_reward 70.45
Ep 19800 Up 1369382: mean reward 15.77, max_reward 85.0, actual_mean_reward 3.01
Ep 19900 Up 1376423: mean reward 10.41, max_reward 73.0, actual_mean_reward 55.45
Ep 20000 Up 1384076: mean reward 11.50, max_reward 89.0, actual_mean_reward 70.17
Ep 20100 Up 1394216: mean reward 15.93, max_reward 100.0, actual_mean_reward 7.68
Ep 20200 Up 1403460: mean reward 13.94, max_reward 82.0, actual_mean_reward 54.78
Ep 20300 Up 1412939: mean reward 16.04, max_reward 73.0, actual_mean_reward 61.01
Ep 20400 Up 1423093: mean reward 17.40, max_reward 90.0, actual_mean_reward 65.44
Ep 20500 Up 1433539: mean reward 16.73, max_reward 90.0, actual_mean_reward 43.50
Ep 20600 Up 1442588: mean reward 15.85, max_reward 104.0, actual_mean_reward 69.75
Ep 20700 Up 1453186: mean reward 17.28, max_reward 83.0, actual_mean_reward 53.87
Ep 20800 Up 1462587: mean reward 13.94, max_reward 59.0, actual_mean_reward 78.20
Ep 20900 Up 1473788: mean reward 17.06, max_reward 75.0, actual_mean_reward 63.30
Ep 21000 Up 1483072: mean reward 14.64, max_reward 70.0, actual_mean_reward 63.87
Ep 21100 Up 1491984: mean reward 14.24, max_reward 82.0, actual_mean_reward 66.31
Ep 21200 Up 1503070: mean reward 16.64, max_reward 75.0, actual_mean_reward 44.53
Ep 21300 Up 1512273: mean reward 15.08, max_reward 92.0, actual_mean_reward 66.55
Ep 21400 Up 1522580: mean reward 15.64, max_reward 72.0, actual_mean_reward 74.32
Ep 21500 Up 1532645: mean reward 17.16, max_reward 82.0, actual_mean_reward 71.53
Ep 21600 Up 1542331: mean reward 15.28, max_reward 83.0, actual_mean_reward 72.09
Ep 21700 Up 1551291: mean reward 14.72, max_reward 95.0, actual_mean_reward 32.65
Ep 21800 Up 1560703: mean reward 14.52, max_reward 83.0, actual_mean_reward 69.49
Ep 21900 Up 1569194: mean reward 14.56, max_reward 72.0, actual_mean_reward 43.38
Ep 22000 Up 1577225: mean reward 12.06, max_reward 83.0, actual_mean_reward 66.42
Ep 22100 Up 1586657: mean reward 14.54, max_reward 65.0, actual_mean_reward 49.41
Ep 22200 Up 1597191: mean reward 16.40, max_reward 83.0, actual_mean_reward 52.44
Ep 22300 Up 1607327: mean reward 15.65, max_reward 86.0, actual_mean_reward 49.85
Ep 22400 Up 1617754: mean reward 16.68, max_reward 97.0, actual_mean_reward 47.97
Ep 22500 Up 1627748: mean reward 16.07, max_reward 80.0, actual_mean_reward 60.62
Ep 22600 Up 1636633: mean reward 13.94, max_reward 52.0, actual_mean_reward 47.26
Ep 22700 Up 1645298: mean reward 13.85, max_reward 76.0, actual_mean_reward 71.90
Ep 22800 Up 1655447: mean reward 15.57, max_reward 80.0, actual_mean_reward 66.55
Ep 22900 Up 1665628: mean reward 15.97, max_reward 80.0, actual_mean_reward 57.16
Ep 23000 Up 1676814: mean reward 17.41, max_reward 95.0, actual_mean_reward 39.81
Ep 23100 Up 1685692: mean reward 15.05, max_reward 77.0, actual_mean_reward 59.07
