nohup: ignoring input
Ep 100 Up 639: mean reward 0.13, max_reward 3.0, actual_mean_reward 0.18
Ep 200 Up 1432: mean reward 0.23, max_reward 4.0, actual_mean_reward 0.42
Ep 300 Up 2228: mean reward 0.24, max_reward 2.0, actual_mean_reward 0.24
Ep 400 Up 2972: mean reward 0.18, max_reward 2.0, actual_mean_reward 0.18
Ep 500 Up 3680: mean reward 0.15, max_reward 2.0, actual_mean_reward 0.84
Ep 600 Up 4497: mean reward 0.26, max_reward 2.0, actual_mean_reward 0.07
Ep 700 Up 5162: mean reward 0.10, max_reward 2.0, actual_mean_reward 0.07
Ep 800 Up 5898: mean reward 0.19, max_reward 2.0, actual_mean_reward 0.27
Ep 900 Up 6664: mean reward 0.20, max_reward 3.0, actual_mean_reward 0.09
Ep 1000 Up 7530: mean reward 0.30, max_reward 4.0, actual_mean_reward 0.04
Ep 1100 Up 8215: mean reward 0.12, max_reward 2.0, actual_mean_reward 0.85
Ep 1200 Up 8943: mean reward 0.17, max_reward 2.0, actual_mean_reward 0.10
Ep 1300 Up 9971: mean reward 0.44, max_reward 3.0, actual_mean_reward 0.06
Ep 1400 Up 10991: mean reward 0.43, max_reward 2.0, actual_mean_reward 0.13
Ep 1500 Up 11669: mean reward 0.12, max_reward 2.0, actual_mean_reward 0.07
Ep 1600 Up 12436: mean reward 0.21, max_reward 3.0, actual_mean_reward 0.13
Ep 1700 Up 13188: mean reward 0.19, max_reward 3.0, actual_mean_reward 0.00
Ep 1800 Up 13912: mean reward 0.16, max_reward 4.0, actual_mean_reward 0.08
Ep 1900 Up 14619: mean reward 0.18, max_reward 2.0, actual_mean_reward 0.86
Ep 2000 Up 15367: mean reward 0.19, max_reward 2.0, actual_mean_reward 0.58
Ep 2100 Up 16168: mean reward 0.23, max_reward 3.0, actual_mean_reward 0.29
Ep 2200 Up 16896: mean reward 0.17, max_reward 3.0, actual_mean_reward 0.23
Ep 2300 Up 17682: mean reward 0.21, max_reward 4.0, actual_mean_reward 0.36
Ep 2400 Up 18530: mean reward 0.27, max_reward 2.0, actual_mean_reward 0.18
Ep 2500 Up 19358: mean reward 0.24, max_reward 2.0, actual_mean_reward 0.39
Ep 2600 Up 20469: mean reward 0.53, max_reward 4.0, actual_mean_reward 0.14
Ep 2700 Up 21408: mean reward 0.36, max_reward 4.0, actual_mean_reward 0.28
Ep 2800 Up 22408: mean reward 0.43, max_reward 3.0, actual_mean_reward 0.73
Ep 2900 Up 23642: mean reward 0.68, max_reward 5.0, actual_mean_reward 1.36
Ep 3000 Up 25263: mean reward 1.01, max_reward 5.0, actual_mean_reward 0.37
Ep 3100 Up 26477: mean reward 0.62, max_reward 4.0, actual_mean_reward 1.37
Ep 3200 Up 28112: mean reward 1.09, max_reward 5.0, actual_mean_reward 1.53
Ep 3300 Up 29925: mean reward 1.31, max_reward 5.0, actual_mean_reward 2.07
Ep 3400 Up 32239: mean reward 1.81, max_reward 6.0, actual_mean_reward 2.41
Ep 3500 Up 34773: mean reward 2.04, max_reward 6.0, actual_mean_reward 1.89
Ep 3600 Up 37805: mean reward 2.53, max_reward 11.0, actual_mean_reward 3.40
Ep 3700 Up 40743: mean reward 2.68, max_reward 7.0, actual_mean_reward 3.55
Ep 3800 Up 43356: mean reward 2.26, max_reward 7.0, actual_mean_reward 4.05
Ep 3900 Up 46212: mean reward 2.67, max_reward 11.0, actual_mean_reward 4.98
Ep 4000 Up 49342: mean reward 2.99, max_reward 8.0, actual_mean_reward 4.46
Ep 4100 Up 52544: mean reward 3.06, max_reward 11.0, actual_mean_reward 4.31
Ep 4200 Up 56230: mean reward 3.66, max_reward 14.0, actual_mean_reward 4.83
Ep 4300 Up 60006: mean reward 3.76, max_reward 20.0, actual_mean_reward 6.67
Ep 4400 Up 64231: mean reward 4.45, max_reward 14.0, actual_mean_reward 7.37
